playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Vladimir Guerrero Jr.,TOR,616,.323,.396,.544,.940
George Springer,TOR,545,.220,.303,.371,.674
Daulton Varsho,TOR,459,.214,.293,.407,.700
Ernie Clement,TOR,434,.263,.284,.408,.692
Davis Schneider,TOR,397,.191,.282,.343,.625
Alejandro Kirk,TOR,340,.253,.319,.359,.678
Spencer Horwitz,TOR,328,.265,.357,.433,.790
Bo Bichette,TOR,311,.225,.277,.322,.599
Joey Loperfido,TOR,243,.214,.264,.350,.614
Addison Barger,TOR,208,.197,.250,.351,.601
Leo Jiménez,TOR,179,.229,.329,.358,.687
