playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Omar Vizquel,CLE,611,.255,.323,.334,.657
Roberto Alomar,CLE,575,.336,.415,.541,.956
Juan Gonzalez,CLE,532,.325,.370,.590,.960
Jim Thome,CLE,526,.291,.416,.624,1.040
Kenny Lofton,CLE,517,.261,.322,.398,.720
Ellis Burks,CLE,439,.280,.369,.542,.911
Einar Díaz,CLE,437,.277,.328,.387,.715
Marty Cordova,CLE,409,.301,.348,.506,.854
Travis Fryman,CLE,334,.263,.327,.335,.662
Russell Branyan,CLE,315,.232,.316,.486,.802
Jolbert Cabrera,CLE,287,.261,.312,.348,.660
