playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Delino DeShields,BAL,561,.296,.369,.444,.813
Albert Belle,BAL,559,.281,.342,.474,.816
Brady Anderson,BAL,506,.257,.375,.421,.796
Melvin Mora,BAL,414,.275,.337,.411,.748
Jeff Conine,BAL,409,.284,.341,.438,.779
Cal Ripken Jr.,BAL,309,.256,.310,.453,.763
Brook Fordyce,BAL,302,.301,.341,.507,.848
Chris Richard,BAL,215,.265,.326,.544,.870
Mark Lewis,BAL,182,.253,.305,.385,.690
Luis Matos,BAL,182,.225,.281,.308,.589
Jerry Hairston Jr.,BAL,180,.256,.353,.367,.720
