playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Aníbal Sánchez,FLA,196.1,3.67,1.28,202,8
Javier Vazquez,FLA,192.2,3.69,1.18,162,13
Ricky Nolasco,FLA,206.0,4.67,1.40,148,10
Chris Volstad,FLA,165.2,4.89,1.42,117,5
Mike Dunn,FLA,63.0,3.43,1.30,68,5
Edward Mujica,FLA,76.0,2.96,1.03,63,9
Josh Johnson,FLA,60.1,1.64,0.98,56,3
Juan Carlos Oviedo,FLA,64.1,4.06,1.21,55,1
Steve Cishek,FLA,54.2,2.63,1.17,55,2
Brian Sanches,FLA,61.2,3.94,1.43,53,4
