playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Omar Infante,FLA,579,.276,.315,.382,.697
Gaby Sanchez,FLA,572,.266,.352,.427,.779
Emilio Bonifácio,FLA,565,.296,.360,.393,.753
Giancarlo Stanton,FLA,516,.262,.356,.537,.893
John Buck,FLA,466,.227,.316,.367,.683
Logan Morrison,FLA,462,.247,.330,.468,.798
Greg Dobbs,FLA,411,.275,.311,.389,.700
Hanley Ramirez,FLA,338,.243,.333,.379,.712
Chris Coghlan,FLA,269,.230,.296,.368,.664
Mike Cameron,FLA,237,.203,.285,.359,.644
Jose Lopez,FLA,231,.216,.245,.372,.617
