playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jimmy Rollins,PHI,656,.274,.323,.419,.742
Doug Glanville,PHI,634,.262,.285,.375,.660
Bobby Abreu,PHI,588,.289,.393,.543,.936
Travis Lee,PHI,555,.258,.341,.434,.775
Scott Rolen,PHI,554,.289,.378,.498,.876
Pat Burrell,PHI,539,.258,.346,.469,.815
Marlon Anderson,PHI,522,.293,.337,.421,.758
Johnny Estrada,PHI,298,.228,.273,.359,.632
Todd Pratt,PHI,173,.185,.327,.301,.628
Brian L. Hunter,PHI,145,.276,.344,.359,.703
Tomas Perez,PHI,135,.304,.347,.437,.784
