playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Yoshinobu Yamamoto,LAD,173.2,2.49,0.99,201,12
Tyler Glasnow,LAD,90.1,3.19,1.10,106,4
Emmet Sheehan,LAD,73.1,2.82,0.97,89,6
Andrew Heaney,LAD,122.1,5.52,1.38,86,5
Clayton Kershaw,LAD,112.2,3.36,1.22,84,11
Alex Vesia,LAD,59.2,3.02,0.99,80,4
Justin Wrobleski,LAD,66.2,4.32,1.23,76,5
Jack Dreyer,LAD,76.1,2.95,1.05,74,3
Blake Snell,LAD,61.1,2.35,1.26,72,5
Ben Casparius,LAD,77.2,4.64,1.27,71,7
