playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Yoenis Cespedes,BOS,600,.260,.301,.450,.751
Dustin Pedroia,BOS,551,.278,.337,.376,.713
Xander Bogaerts,BOS,538,.240,.297,.362,.659
David Ortiz,BOS,518,.263,.355,.517,.872
Allen Craig,BOS,461,.215,.279,.315,.594
Brock Holt,BOS,449,.281,.331,.381,.712
Mike Napoli,BOS,415,.248,.370,.419,.789
Jackie Bradley Jr.,BOS,384,.198,.265,.266,.531
Daniel Nava,BOS,363,.270,.346,.361,.707
Will Middlebrooks,BOS,215,.191,.256,.265,.521
Mookie Betts,BOS,189,.291,.368,.444,.812
