playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Barry Zito,OAK,228.1,3.86,1.20,171,14
Dan Haren,OAK,217.0,3.73,1.22,163,14
Rich Harden,OAK,128.0,2.53,1.06,121,10
Joe Blanton,OAK,201.1,3.53,1.22,116,12
Joe Kennedy,OAK,152.2,6.01,1.68,97,8
Justin Duchscherer,OAK,85.2,2.21,1.00,85,7
Jay Witasick,OAK,63.1,2.84,1.29,73,1
Huston Street,OAK,78.1,1.72,1.01,72,5
Kirk Saarloos,OAK,159.2,4.17,1.40,53,10
Kiko Calero,OAK,55.2,3.23,1.13,52,4
