playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Anthony Volpe,NYY,637,.243,.293,.364,.657
Gleyber Torres,NYY,587,.257,.330,.378,.708
Juan Soto,NYY,576,.288,.419,.569,.988
Jazz Chisholm Jr.,NYY,562,.256,.324,.436,.760
Aaron Judge,NYY,559,.322,.458,.701,1.159
Alex Verdugo,NYY,559,.233,.291,.356,.647
Giancarlo Stanton,NYY,417,.233,.298,.475,.773
Austin Wells,NYY,354,.229,.322,.395,.717
Anthony Rizzo,NYY,337,.228,.301,.335,.636
Oswaldo Cabrera,NYY,299,.247,.296,.365,.661
Jose Trevino,NYY,209,.215,.288,.354,.642
