playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Aaron Judge,NYY,570,.311,.425,.686,1.111
Gleyber Torres,NYY,526,.257,.310,.451,.761
Isiah Kiner-Falefa,NYY,483,.261,.314,.327,.641
Josh Donaldson,NYY,478,.222,.308,.374,.682
DJ LeMahieu,NYY,467,.261,.357,.377,.734
Anthony Rizzo,NYY,465,.224,.338,.480,.818
Andrew Benintendi,NYY,461,.304,.373,.399,.772
Giancarlo Stanton,NYY,398,.211,.297,.462,.759
Aaron Hicks,NYY,384,.216,.330,.313,.643
Jose Trevino,NYY,335,.248,.283,.388,.671
Harrison Bader,NYY,292,.250,.294,.356,.650
