playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Xavier Edwards,MIA,561,.283,.343,.353,.696
Otto Lopez,MIA,544,.246,.305,.368,.673
Agustín Ramírez,MIA,537,.231,.287,.413,.700
Eric Wagaman,MIA,476,.250,.296,.378,.674
Kyle Stowers,MIA,399,.288,.368,.544,.912
Liam Hicks,MIA,332,.247,.346,.346,.692
Javier Sanoja,MIA,313,.243,.287,.396,.683
Connor Norby,MIA,311,.251,.300,.389,.689
Dane Myers,MIA,307,.235,.291,.326,.617
Heriberto Hernández,MIA,256,.266,.347,.438,.785
Jakob Marsee,MIA,209,.292,.363,.478,.841
