playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Matt Cain,SF,219.1,2.79,1.04,193,16
Madison Bumgarner,SF,208.1,3.37,1.11,191,16
Tim Lincecum,SF,186.0,5.18,1.47,190,10
Ryan Vogelsong,SF,189.2,3.37,1.23,158,14
Barry Zito,SF,184.1,4.15,1.39,114,15
Sergio Romo,SF,55.1,1.79,0.85,63,4
Jeremy Affeldt,SF,63.1,2.70,1.26,57,1
Jose Mijares,SF,56.1,2.56,1.26,57,3
Santiago Casilla,SF,63.1,2.84,1.22,55,7
George Kontos,SF,43.2,2.47,1.05,44,2
