playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Matt Carpenter,STL,595,.272,.375,.375,.750
Matt Holliday,STL,574,.272,.370,.441,.811
Jhonny Peralta,STL,560,.263,.336,.443,.779
Matt Adams,STL,527,.288,.321,.457,.778
Jon Jay,STL,413,.303,.372,.378,.750
Yadier Molina,STL,404,.282,.333,.386,.719
Kolten Wong,STL,402,.249,.292,.388,.680
A.J. Pierzynski,STL,338,.251,.288,.337,.625
Peter Bourjos,STL,264,.231,.294,.348,.642
Oscar Taveras,STL,234,.239,.278,.312,.590
Mark Ellis,STL,178,.180,.253,.213,.466
