playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Orlando Cabrera,MON,626,.297,.347,.460,.807
Jose Vidro,MON,509,.310,.397,.470,.867
Brad Wilkerson,MON,504,.268,.380,.464,.844
Endy Chavez,MON,483,.251,.294,.354,.648
Wil Cordero,MON,436,.278,.354,.450,.804
Vladimir Guerrero,MON,394,.330,.426,.586,1.012
Ronald Calloway,MON,340,.238,.282,.374,.656
Brian Schneider,MON,335,.230,.309,.394,.703
Todd Zeile,MON,299,.227,.308,.385,.693
Jose Macias,MON,272,.239,.273,.353,.626
Jamey Carroll,MON,227,.260,.323,.326,.649
