playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Dinelson Lamet,SD,69.0,2.09,0.86,93,3
Zach Davies,SD,69.1,2.73,1.07,63,7
Chris Paddack,SD,59.0,4.73,1.22,58,4
Garrett Richards,SD,51.1,4.03,1.25,46,2
Mike Clevinger,SD,41.2,3.02,1.15,40,3
Trevor Rosenthal,SD,23.2,1.90,0.85,38,1
Drew Pomeranz,SD,18.2,1.45,1.02,29,1
Pierce Johnson,SD,20.0,2.70,1.20,27,3
Adrian Morejon,SD,19.1,4.66,1.24,25,2
Dan Altavilla,SD,20.1,5.75,1.48,24,2
