playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
José Reyes,TOR,610,.287,.328,.398,.726
Melky Cabrera,TOR,568,.301,.351,.458,.809
José Bautista,TOR,553,.286,.403,.524,.927
Dioner Navarro,TOR,481,.274,.317,.395,.712
Edwin Encarnación,TOR,477,.268,.354,.547,.901
Colby Rasmus,TOR,346,.225,.287,.448,.735
Adam Lind,TOR,290,.321,.381,.479,.860
Juan Francisco,TOR,287,.220,.291,.456,.747
Danny Valencia,TOR,264,.258,.296,.371,.667
Brett Lawrie,TOR,259,.247,.301,.421,.722
Munenori Kawasaki,TOR,240,.258,.327,.296,.623
