playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Jhoulys Chacín,COL,194.0,3.62,1.31,150,11
Jason Hammel,COL,170.1,4.76,1.43,94,7
Rafael Betancourt,COL,62.1,2.89,0.87,73,2
Esmil Rogers,COL,83.0,7.05,1.89,63,6
Rex Brothers,COL,40.2,2.88,1.30,59,1
Juan Nicasio,COL,71.2,4.14,1.27,58,4
Matt Belisle,COL,72.0,3.25,1.26,58,10
Huston Street,COL,58.1,3.86,1.22,55,1
Jorge De La Rosa,COL,59.0,3.51,1.19,52,5
Matt Reynolds,COL,50.2,4.09,1.30,50,1
