playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Carlos Correa,MIN,514,.230,.312,.399,.711
Max Kepler,MIN,438,.260,.332,.484,.816
Donovan Solano,MIN,394,.282,.369,.391,.760
Willi Castro,MIN,358,.257,.339,.411,.750
Michael A. Taylor,MIN,355,.220,.278,.442,.720
Edouard Julien,MIN,338,.263,.381,.459,.840
Kyle Farmer,MIN,336,.256,.317,.408,.725
Christian Vázquez,MIN,327,.223,.280,.318,.598
Byron Buxton,MIN,304,.207,.294,.438,.732
Jorge Polanco,MIN,302,.255,.335,.454,.789
Ryan Jeffers,MIN,286,.276,.369,.490,.859
