playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Albert Pujols,LAA,607,.285,.343,.516,.859
Mike Trout,LAA,559,.326,.399,.564,.963
Howie Kendrick,LAA,550,.287,.325,.400,.725
Mark Trumbo,LAA,544,.268,.317,.491,.808
Torii Hunter,LAA,534,.313,.365,.451,.816
Erick Aybar,LAA,517,.290,.324,.416,.740
Kendrys Morales,LAA,484,.273,.320,.467,.787
Alberto Callaspo,LAA,457,.252,.331,.361,.692
Maicer Izturis,LAA,289,.256,.320,.315,.635
Vernon Wells,LAA,243,.230,.279,.403,.682
Chris Iannetta,LAA,221,.240,.332,.398,.730
