playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
David Price,TB,186.2,3.33,1.10,151,10
Matt Moore,TB,150.1,3.29,1.30,143,17
Jeremy Hellickson,TB,174.0,5.17,1.35,135,12
Alex Cobb,TB,143.1,2.76,1.15,134,11
Roberto Hernandez,TB,151.0,4.89,1.34,113,6
Chris Archer,TB,128.2,3.22,1.13,101,9
Fernando Rodney,TB,66.2,3.38,1.34,82,5
Jake McGee,TB,62.2,4.02,1.18,75,5
Joel Peralta,TB,71.1,3.41,1.14,74,3
Jamey Wright,TB,70.0,3.09,1.20,65,2
