playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Andruw Jones,ATL,656,.303,.366,.541,.907
Chipper Jones Jr.,ATL,579,.311,.404,.566,.970
B.J. Surhoff,ATL,539,.291,.344,.443,.787
Andres Galarraga,ATL,494,.302,.369,.526,.895
Brian Jordan,ATL,489,.264,.320,.421,.741
Javy Lopez,ATL,481,.287,.337,.484,.821
Rafael Furcal,ATL,455,.295,.394,.382,.776
Reggie Sanders,ATL,340,.232,.302,.403,.705
Quilvio Veras,ATL,298,.309,.413,.409,.822
Keith Lockhart,ATL,275,.265,.331,.353,.684
Bobby Bonilla,ATL,239,.255,.356,.397,.753
