playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ichiro Suzuki,SEA,678,.351,.396,.431,.827
Adrian Beltré,SEA,595,.276,.319,.482,.801
Jose Guillen,SEA,593,.290,.353,.460,.813
Raul Ibanez,SEA,573,.291,.351,.480,.831
Jose Vidro,SEA,548,.314,.381,.394,.775
Yuniesky Betancourt,SEA,536,.289,.308,.418,.726
Jose Lopez,SEA,524,.252,.284,.355,.639
Kenji Johjima,SEA,485,.287,.322,.433,.755
Richie Sexson,SEA,434,.205,.295,.399,.694
Ben Broussard,SEA,240,.275,.330,.404,.734
Willie Bloomquist,SEA,173,.277,.321,.329,.650
