playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Gavin Williams,CLE,167.2,3.06,1.27,173,12
Tanner Bibee,CLE,182.1,4.24,1.23,162,12
Logan Allen,CLE,156.2,4.25,1.40,122,8
Slade Cecconi,CLE,132.0,4.30,1.19,109,7
Joey Cantillo,CLE,95.1,3.21,1.26,108,5
Cade Smith,CLE,73.2,2.93,1.00,104,8
Luis Ortiz,CLE,88.2,4.36,1.38,96,4
Hunter Gaddis,CLE,66.2,3.11,1.19,73,2
Matt Festa,CLE,54.2,4.12,1.08,56,5
Jakob Junis,CLE,66.2,2.97,1.23,55,4
