playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Corbin Carroll,AZ,589,.231,.322,.428,.750
Eugenio Suárez,AZ,571,.256,.319,.469,.788
Josh Bell,AZ,538,.249,.319,.405,.724
Lourdes Gurriel Jr.,AZ,513,.279,.322,.435,.757
Ketel Marte,AZ,504,.292,.372,.560,.932
Christian Walker,AZ,479,.251,.335,.468,.803
Jake McCarthy,AZ,442,.285,.349,.400,.749
Joc Pederson,AZ,367,.275,.393,.515,.908
Geraldo Perdomo,AZ,337,.273,.344,.374,.718
Gabriel Moreno,AZ,305,.266,.353,.380,.733
Kevin Newman,AZ,288,.278,.311,.375,.686
