playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Richie Sexson,MIL,570,.279,.363,.504,.867
José Hernández,MIL,525,.288,.356,.478,.834
Eric Young Sr.,MIL,496,.280,.338,.369,.707
Jeffrey Hammonds,MIL,448,.257,.332,.397,.729
Alex Sanchez,MIL,394,.289,.343,.358,.701
Ronnie Belliard,MIL,289,.211,.257,.287,.544
Matt Stairs,MIL,270,.244,.349,.478,.827
Geoff Jenkins,MIL,243,.243,.320,.444,.764
Paul Bako,MIL,234,.235,.295,.329,.624
Robert Machado,MIL,211,.261,.316,.379,.695
Lenny Harris,MIL,197,.305,.355,.411,.766
