playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Isiah Kiner-Falefa,TEX,635,.271,.312,.357,.669
Adolis García,TEX,581,.243,.286,.454,.740
Nathaniel Lowe,TEX,557,.264,.357,.415,.772
Nick Solak,TEX,458,.242,.314,.362,.676
Jose Trevino,TEX,285,.239,.267,.340,.607
Jonah Heim,TEX,265,.196,.239,.358,.597
Willie Calhoun,TEX,260,.250,.310,.381,.691
Andy Ibáñez,TEX,253,.277,.321,.435,.756
Charlie Culberson,TEX,247,.243,.296,.381,.677
Brock Holt,TEX,235,.209,.281,.298,.579
DJ Peters,TEX,223,.197,.242,.422,.664
