playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ryan McMahon,COL,528,.254,.331,.449,.780
Trevor Story,COL,526,.251,.329,.471,.800
Charlie Blackmon,COL,514,.270,.351,.411,.762
Raimel Tapia,COL,487,.273,.327,.372,.699
C.J. Cron,COL,470,.281,.375,.530,.905
Garrett Hampson,COL,453,.234,.289,.380,.669
Brendan Rodgers,COL,387,.284,.328,.470,.798
Elias Díaz,COL,338,.246,.310,.464,.774
Yonathan Daza,COL,301,.282,.332,.355,.687
Joshua Fuentes,COL,271,.225,.257,.351,.608
Dom Nuñez,COL,228,.189,.293,.399,.692
