playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Mike Mussina,NYY,214.2,3.40,1.08,195,17
Roger Clemens,NYY,211.2,3.91,1.21,190,17
Andy Pettitte,NYY,208.1,4.02,1.33,180,21
David Wells,NYY,213.0,4.14,1.23,101,15
Jeff Weaver,NYY,159.1,5.99,1.62,93,7
Jose Contreras,NYY,71.0,3.30,1.15,72,7
Jeff Nelson,NYY,55.1,3.74,1.36,68,4
Mariano Rivera,NYY,70.2,1.66,1.00,63,5
Antonio Osuna,NYY,50.2,3.73,1.54,47,2
Felix Heredia,NYY,87.0,2.69,1.23,45,5
