playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Marco Gonzales,SEA,203.0,3.99,1.31,147,16
Yusei Kikuchi,SEA,161.2,5.46,1.52,116,6
Tommy Milone,SEA,111.2,4.76,1.12,94,4
Wade LeBlanc,SEA,121.1,5.71,1.45,92,6
Matt Magill,SEA,50.2,4.09,1.40,64,5
Matt Wisler,SEA,51.1,5.61,1.40,63,3
Félix Hernández,SEA,71.2,6.40,1.53,57,1
Austin Adams,SEA,32.0,3.94,1.13,53,2
Erik Swanson,SEA,58.0,5.74,1.17,52,1
Brandon Brennan,SEA,47.1,4.56,1.23,47,3
