playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
César Hernández,PHI,612,.279,.333,.408,.741
Jean Segura,PHI,576,.280,.323,.420,.743
Bryce Harper,PHI,573,.260,.372,.510,.882
Rhys Hoskins,PHI,570,.226,.364,.454,.818
J.T. Realmuto,PHI,538,.275,.328,.493,.821
Scott Kingery,PHI,458,.258,.315,.474,.789
Maikel Franco,PHI,389,.234,.297,.409,.706
Jay Bruce,PHI,310,.216,.261,.523,.784
Corey Dickerson,PHI,260,.304,.341,.565,.906
Adam Haseley,PHI,222,.266,.324,.396,.720
Andrew McCutchen,PHI,219,.256,.378,.457,.835
