playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Dustin Ackley,SEA,607,.226,.294,.328,.622
Kyle Seager,SEA,594,.259,.316,.423,.739
Jesus Montero,SEA,515,.260,.298,.386,.684
Michael Saunders,SEA,507,.247,.306,.432,.738
Justin Smoak,SEA,483,.217,.290,.364,.654
Brendan Ryan,SEA,407,.194,.277,.278,.555
Miguel Olivo,SEA,315,.222,.239,.381,.620
John Jaso,SEA,294,.276,.394,.456,.850
Casper Wells,SEA,285,.228,.302,.396,.698
Eric Thames,SEA,271,.232,.273,.399,.672
Chone Figgins,SEA,166,.181,.262,.271,.533
