playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ian Kinsler,DET,684,.275,.307,.420,.727
Miguel Cabrera,DET,611,.313,.371,.524,.895
Victor Martinez,DET,561,.335,.409,.565,.974
Torii Hunter,DET,549,.286,.319,.446,.765
Nick Castellanos,DET,533,.259,.306,.394,.700
Rajai Davis,DET,461,.282,.320,.401,.721
J.D. Martinez,DET,441,.315,.358,.553,.911
Alex Avila,DET,390,.218,.327,.359,.686
Andrew Romine,DET,251,.227,.279,.275,.554
Eugenio Suárez,DET,244,.242,.316,.336,.652
Don Kelly,DET,163,.245,.332,.288,.620
