playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Brian Roberts,BAL,611,.296,.378,.450,.828
Aubrey Huff,BAL,598,.304,.360,.552,.912
Nick Markakis,BAL,595,.306,.406,.491,.897
Kevin Millar,BAL,531,.234,.323,.394,.717
Melvin Mora,BAL,513,.285,.342,.483,.825
Adam Jones,BAL,477,.270,.311,.400,.711
Luke Scott,BAL,475,.257,.336,.472,.808
Ramon Hernandez,BAL,463,.257,.308,.406,.714
Jay Payton,BAL,338,.243,.291,.346,.637
Juan Castro,BAL,161,.193,.246,.267,.513
Guillermo Quiroz,BAL,134,.187,.259,.269,.528
