playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
JJ Bleday,OAK,572,.243,.324,.437,.761
Brent Rooker,OAK,546,.293,.365,.562,.927
Zack Gelof,OAK,497,.211,.270,.362,.632
Shea Langeliers,OAK,482,.224,.288,.450,.738
Lawrence Butler,OAK,412,.262,.317,.490,.807
Max Schuemann,OAK,396,.220,.311,.308,.619
Seth Brown,OAK,372,.231,.283,.379,.662
Abraham Toro,OAK,337,.240,.293,.350,.643
Miguel Andujar,OAK,302,.285,.320,.377,.697
Tyler Nevin,OAK,245,.204,.288,.331,.619
Tyler Soderstrom,OAK,189,.233,.315,.429,.744
