playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Alex Bregman,HOU,622,.262,.363,.441,.804
Jeremy Peña,HOU,577,.263,.324,.381,.705
Kyle Tucker,HOU,574,.284,.369,.517,.886
José Abreu,HOU,540,.237,.296,.383,.679
Mauricio Dubón,HOU,467,.278,.309,.411,.720
Yordan Alvarez,HOU,410,.293,.407,.583,.990
Chas McCormick,HOU,403,.273,.353,.489,.842
Martín Maldonado,HOU,362,.191,.258,.348,.606
Jose Altuve,HOU,360,.311,.393,.522,.915
Yainer Diaz,HOU,355,.282,.308,.538,.846
Jake Meyers,HOU,309,.227,.296,.382,.678
