playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
César Hernández,PHI,605,.253,.356,.362,.718
Carlos Santana,PHI,560,.229,.352,.414,.766
Rhys Hoskins,PHI,558,.246,.354,.496,.850
Odúbel Herrera,PHI,550,.255,.310,.420,.730
Asdrúbal Cabrera,PHI,546,.262,.316,.458,.774
Scott Kingery,PHI,452,.226,.267,.338,.605
Maikel Franco,PHI,433,.270,.314,.467,.781
Justin Bour,PHI,423,.227,.341,.404,.745
Nick Williams,PHI,407,.256,.324,.425,.749
Wilson Ramos,PHI,382,.306,.358,.487,.845
Jorge Alfaro,PHI,344,.262,.324,.407,.731
