playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Josh Reddick,OAK,611,.242,.305,.463,.768
Yoenis Cespedes,OAK,487,.292,.356,.505,.861
Coco Crisp,OAK,455,.259,.325,.418,.743
Jemile Weeks,OAK,444,.221,.305,.304,.609
Cliff Pennington,OAK,418,.215,.278,.311,.589
Seth Smith,OAK,383,.240,.333,.420,.753
Brandon Inge,OAK,303,.218,.275,.383,.658
Stephen Drew,OAK,287,.223,.309,.348,.657
Jonny Gomes,OAK,279,.262,.377,.491,.868
Josh Donaldson,OAK,274,.241,.289,.398,.687
Brandon Moss,OAK,265,.291,.358,.596,.954
