playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jorge Polanco,MIN,588,.269,.323,.503,.826
Miguel Sanó,MIN,470,.223,.312,.466,.778
Josh Donaldson,MIN,457,.247,.352,.475,.827
Luis Arraez,MIN,428,.294,.357,.376,.733
Max Kepler,MIN,426,.211,.306,.413,.719
Andrelton Simmons,MIN,412,.223,.283,.274,.557
Ryan Jeffers,MIN,267,.199,.270,.401,.671
Trevor Larnach,MIN,260,.223,.322,.350,.672
Byron Buxton,MIN,235,.306,.358,.647,1.005
Alex Kirilloff,MIN,215,.251,.299,.423,.722
Willians Astudillo,MIN,208,.236,.259,.375,.634
