playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Jose Quintana,CHC,188.2,4.15,1.22,207,11
Jon Lester,CHC,180.2,4.33,1.32,180,13
Jake Arrieta,CHC,168.1,3.53,1.22,163,14
John Lackey,CHC,170.2,4.59,1.28,149,12
Kyle Hendricks,CHC,139.2,3.03,1.19,123,7
Mike Montgomery,CHC,130.2,3.38,1.21,100,7
Carl Edwards Jr.,CHC,66.1,2.98,1.01,94,5
Justin Wilson,CHC,58.0,3.41,1.29,80,4
Wade Davis,CHC,58.2,2.30,1.14,79,4
Héctor Rondón,CHC,57.1,4.24,1.22,69,4
