playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Hanser Alberto,BAL,219,.283,.306,.393,.699
Renato Núñez,BAL,195,.256,.324,.492,.816
Rio Ruiz,BAL,185,.222,.286,.427,.713
Pedro Severino,BAL,160,.250,.322,.388,.710
Anthony Santander,BAL,153,.261,.315,.575,.890
Jose Iglesias,BAL,142,.373,.400,.556,.956
Pat Valaika,BAL,141,.277,.315,.475,.790
Cedric Mullins,BAL,140,.271,.315,.407,.722
Ryan Mountcastle,BAL,126,.333,.386,.492,.878
Austin Hays,BAL,122,.279,.328,.393,.721
Chance Sisco,BAL,98,.214,.364,.378,.742
