playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
AJ Pollock,AZ,609,.315,.367,.498,.865
Paul Goldschmidt,AZ,567,.321,.435,.570,1.005
Ender Inciarte,AZ,524,.303,.338,.408,.746
Chris Owings,AZ,515,.227,.264,.322,.586
David Peralta,AZ,462,.312,.371,.522,.893
Nick Ahmed,AZ,421,.226,.275,.359,.634
Yasmany Tomás,AZ,406,.273,.305,.401,.706
Jake Lamb,AZ,350,.263,.331,.386,.717
Welington Castillo,AZ,342,.237,.296,.453,.749
Aaron Hill,AZ,313,.230,.295,.345,.640
Jarrod Saltalamacchia,AZ,200,.225,.310,.435,.745
