playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Trea Turner,WSH,664,.271,.344,.416,.760
Bryce Harper,WSH,550,.249,.393,.496,.889
Anthony Rendon,WSH,529,.308,.374,.535,.909
Juan Soto,WSH,414,.292,.406,.517,.923
Wilmer Difo,WSH,408,.230,.298,.350,.648
Michael A. Taylor,WSH,353,.227,.287,.357,.644
Adam Eaton,WSH,319,.301,.394,.411,.805
Ryan Zimmerman,WSH,288,.264,.337,.486,.823
Matt Wieters,WSH,235,.238,.330,.374,.704
Mark Reynolds,WSH,206,.248,.328,.476,.804
Pedro Severino,WSH,190,.168,.254,.247,.501
