playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Gio Gonzalez,WSH,199.1,2.89,1.13,207,21
Stephen Strasburg,WSH,159.1,3.16,1.15,197,15
Edwin Jackson,WSH,189.2,4.03,1.22,168,10
Jordan Zimmermann,WSH,195.2,2.94,1.17,153,12
Ross Detwiler,WSH,164.1,3.40,1.22,105,10
Craig Stammen,WSH,88.1,2.34,1.20,87,6
Tyler Clippard,WSH,72.2,3.72,1.16,84,2
Tom Gorzelanny,WSH,72.0,2.88,1.32,62,4
Sean Burnett,WSH,56.2,2.38,1.24,57,1
Ryan Mattheus,WSH,66.1,2.85,1.15,41,5
