playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Danny Espinosa,WSH,594,.247,.315,.402,.717
Ryan Zimmerman,WSH,578,.282,.346,.478,.824
Adam LaRoche,WSH,571,.271,.343,.510,.853
Bryce Harper,WSH,533,.270,.340,.477,.817
Ian Desmond,WSH,513,.292,.335,.511,.846
Kurt Suzuki,WSH,408,.235,.276,.328,.604
Michael Morse,WSH,406,.291,.321,.470,.791
Steve Lombardozzi Jr.,WSH,384,.273,.317,.354,.671
Jayson Werth,WSH,300,.300,.387,.440,.827
Jesus Flores,WSH,277,.213,.248,.329,.577
Roger Bernadina,WSH,227,.291,.372,.405,.777
