playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Michael Young,TEX,645,.284,.339,.402,.741
Josh Hamilton,TEX,624,.304,.371,.530,.901
Ian Kinsler,TEX,518,.319,.375,.517,.892
David Murphy,TEX,415,.275,.321,.465,.786
Milton Bradley,TEX,414,.321,.436,.563,.999
Marlon Byrd,TEX,403,.298,.380,.462,.842
Gerald Laird,TEX,344,.276,.329,.398,.727
Ramón Vázquez,TEX,300,.290,.365,.430,.795
Chris Davis,TEX,295,.285,.331,.549,.880
Brandon Boggs,TEX,283,.226,.333,.399,.732
Hank Blalock,TEX,258,.287,.338,.508,.846
