playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Manny Machado,BAL,630,.259,.310,.471,.781
Jonathan Schoop,BAL,622,.293,.338,.503,.841
Adam Jones,BAL,597,.285,.322,.466,.788
Mark Trumbo,BAL,559,.234,.289,.397,.686
Trey Mancini,BAL,543,.293,.338,.488,.826
Tim Beckham,BAL,533,.278,.328,.454,.782
Chris Davis,BAL,456,.215,.309,.423,.732
Welington Castillo,BAL,341,.282,.323,.490,.813
Seth Smith,BAL,330,.258,.340,.433,.773
Joey Rickard,BAL,261,.241,.276,.345,.621
J.J. Hardy,BAL,254,.217,.255,.323,.578
