playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Garret Anderson,ANA,672,.289,.314,.478,.792
Darin Erstad,ANA,631,.258,.331,.360,.691
Troy Glaus,ANA,588,.250,.367,.531,.898
David Eckstein,ANA,582,.285,.355,.357,.712
Adam Kennedy,ANA,478,.270,.318,.372,.690
Tim Salmon,ANA,475,.227,.365,.383,.748
Scott Spiezio,ANA,457,.271,.326,.438,.764
Bengie Molina,ANA,325,.262,.309,.351,.660
Benji Gil,ANA,260,.296,.330,.477,.807
Orlando Palmeiro,ANA,230,.243,.319,.322,.641
Shawn Wooten,ANA,221,.312,.332,.466,.798
