playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Anthony DeSclafani,CIN,184.2,4.05,1.35,151,9
Aroldis Chapman,CIN,66.1,1.63,1.15,116,4
Raisel Iglesias,CIN,95.1,4.15,1.14,104,3
Michael Lorenzen,CIN,113.1,5.40,1.66,83,4
Jumbo Diaz,CIN,60.1,4.18,1.26,70,2
John Lamb,CIN,49.2,5.80,1.55,58,1
J.J. Hoover,CIN,64.1,2.94,1.17,52,8
Brandon Finnegan,CIN,48.0,3.56,1.21,45,5
Keyvius Sampson,CIN,52.1,6.54,1.78,42,2
Tony Cingrani,CIN,33.1,5.67,1.68,39,0
