playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Rafael Devers,BOS,647,.311,.361,.555,.916
Xander Bogaerts,BOS,614,.309,.384,.555,.939
Mookie Betts,BOS,597,.295,.391,.524,.915
J.D. Martinez,BOS,575,.304,.383,.557,.940
Andrew Benintendi,BOS,541,.266,.343,.431,.774
Jackie Bradley Jr.,BOS,494,.225,.317,.421,.738
Christian Vázquez,BOS,482,.276,.320,.477,.797
Michael Chavis,BOS,347,.254,.322,.444,.766
Mitch Moreland,BOS,298,.252,.328,.507,.835
Brock Holt,BOS,259,.297,.369,.402,.771
Chris Owings,BOS,180,.139,.209,.233,.442
