playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Anthony Santander,BAL,591,.257,.325,.472,.797
Adley Rutschman,BAL,588,.277,.374,.435,.809
Gunnar Henderson,BAL,560,.255,.325,.489,.814
Austin Hays,BAL,520,.275,.325,.444,.769
Ryan Mountcastle,BAL,423,.270,.328,.452,.780
Adam Frazier,BAL,412,.240,.300,.396,.696
Cedric Mullins,BAL,404,.233,.305,.416,.721
Ramón Urías,BAL,360,.264,.328,.375,.703
Ryan O'Hearn,BAL,346,.289,.322,.480,.802
Jorge Mateo,BAL,318,.217,.267,.340,.607
Aaron Hicks,BAL,269,.253,.353,.383,.736
