playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Andrew Heaney,LAA,95.1,4.91,1.29,118,4
Félix Peña,LAA,96.1,4.58,1.18,101,8
Griffin Canning,LAA,90.1,4.58,1.22,96,5
Ty Buttrey,LAA,72.1,3.98,1.27,84,6
Trevor Cahill,LAA,102.1,5.98,1.47,81,4
Noé Ramirez,LAA,67.2,3.99,1.17,79,5
Tyler Skaggs,LAA,79.2,4.29,1.27,78,7
Jaime Barria,LAA,82.2,6.42,1.44,75,4
Hansel Robles,LAA,72.2,2.48,1.02,75,5
José Suarez,LAA,81.0,7.11,1.64,72,2
