playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Adam Wainwright,STL,202.0,3.70,1.40,136,14
Kip Wells,STL,162.2,5.70,1.62,122,7
Braden Looper,STL,175.0,4.94,1.34,87,12
Anthony Reyes,STL,107.1,6.04,1.41,74,2
Russ Springer,STL,66.0,2.18,0.91,66,8
Todd Wellemeyer,STL,79.1,4.54,1.47,60,3
Joel Pineiro,STL,97.2,4.33,1.39,60,7
Jason Isringhausen,STL,65.1,2.48,1.07,54,4
Brad Thompson,STL,129.1,4.73,1.52,53,8
Mike Maroth,STL,116.1,6.89,1.87,51,5
