playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Dmitri Young,CIN,548,.303,.346,.491,.837
Ken Griffey Jr.,CIN,520,.271,.387,.556,.943
Pokey Reese,CIN,518,.255,.319,.386,.705
Sean Casey,CIN,480,.315,.385,.517,.902
Barry Larkin,CIN,396,.313,.389,.487,.876
Chris Stynes,CIN,380,.334,.386,.497,.883
Aaron Boone,CIN,291,.285,.356,.471,.827
Michael Tucker,CIN,270,.267,.381,.511,.892
Eddie Taubensee,CIN,266,.267,.324,.380,.704
Benito Santiago,CIN,252,.262,.310,.409,.719
Alex Ochoa,CIN,244,.316,.378,.586,.964
