playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Eugenio Suárez,CIN,575,.271,.358,.572,.930
Freddy Galvis,CIN,557,.260,.296,.438,.734
Joey Votto,CIN,525,.261,.357,.411,.768
Jose Iglesias,CIN,504,.288,.318,.407,.725
José Peraza,CIN,376,.239,.285,.346,.631
Nick Senzel,CIN,375,.256,.315,.427,.742
Jesse Winker,CIN,338,.269,.357,.473,.830
Tucker Barnhart,CIN,316,.231,.328,.380,.708
Derek Dietrich,CIN,251,.187,.328,.462,.790
Phillip Ervin,CIN,236,.271,.331,.466,.797
Josh VanMeter,CIN,228,.237,.327,.408,.735
