playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Freddy Galvis,PHI,584,.241,.274,.399,.673
Odúbel Herrera,PHI,583,.286,.361,.420,.781
Maikel Franco,PHI,581,.255,.306,.427,.733
César Hernández,PHI,547,.294,.371,.393,.764
Cameron Rupp,PHI,389,.252,.303,.447,.750
Peter Bourjos,PHI,355,.251,.292,.389,.681
Ryan Howard,PHI,331,.196,.257,.453,.710
Tommy Joseph,PHI,315,.257,.308,.505,.813
Tyler Goeddel,PHI,213,.192,.258,.291,.549
Aaron Altherr,PHI,198,.197,.300,.288,.588
Cody Asche,PHI,197,.213,.284,.350,.634
