playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Tony Batista,TOR,620,.263,.307,.519,.826
José Cruz Jr.,TOR,603,.242,.323,.466,.789
Shannon Stewart,TOR,583,.319,.363,.518,.881
Carlos Delgado,TOR,569,.344,.470,.664,1.134
Alex Gonzalez,TOR,527,.252,.313,.404,.717
Brad Fullmer,TOR,482,.295,.340,.558,.898
Dave Martinez,TOR,457,.274,.346,.370,.716
Darrin Fletcher,TOR,416,.320,.355,.514,.869
Mickey Morandini,TOR,409,.257,.322,.313,.635
Raul Mondesi,TOR,388,.271,.329,.523,.852
Homer Bush,TOR,297,.215,.271,.253,.524
