playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Nick Castellanos,DET,614,.272,.320,.490,.810
Ian Kinsler,DET,551,.236,.313,.412,.725
Miguel Cabrera,DET,469,.249,.329,.399,.728
Jose Iglesias,DET,463,.255,.288,.369,.657
Victor Martinez,DET,392,.255,.324,.372,.696
James McCann,DET,352,.253,.318,.415,.733
Mikie Mahtook,DET,348,.276,.330,.457,.787
Andrew Romine,DET,318,.233,.289,.336,.625
Alex Presley,DET,245,.314,.354,.416,.770
John Hicks,DET,173,.266,.326,.439,.765
Dixon Machado,DET,166,.259,.302,.319,.621
