playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jose Vidro,MON,606,.330,.379,.540,.919
Vladimir Guerrero,MON,571,.345,.410,.664,1.074
Peter Bergeron,MON,518,.245,.320,.349,.669
Lee Stevens,MON,449,.265,.337,.481,.818
Orlando Cabrera,MON,422,.237,.279,.393,.672
Geoff Blum,MON,343,.283,.335,.449,.784
Wilton Guerrero,MON,288,.267,.312,.326,.638
Michael Barrett,MON,271,.214,.277,.288,.565
Andy Tracy,MON,192,.260,.339,.484,.823
Mike Mordecai,MON,169,.284,.335,.450,.785
Terry Jones,MON,168,.250,.292,.321,.613
