playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Julio Rodríguez,SEA,652,.267,.324,.474,.798
Randy Arozarena,SEA,613,.238,.334,.426,.760
Cal Raleigh,SEA,596,.247,.359,.589,.948
Eugenio Suárez,SEA,588,.228,.298,.526,.824
J.P. Crawford,SEA,570,.265,.352,.370,.722
Josh Naylor,SEA,543,.295,.353,.462,.815
Jorge Polanco,SEA,471,.265,.326,.495,.821
Ben Williamson,SEA,277,.253,.294,.310,.604
Mitch Garver,SEA,254,.209,.297,.343,.640
Dominic Canzone,SEA,243,.300,.358,.481,.839
Cole Young,SEA,223,.211,.302,.305,.607
