playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Anthony Rendon,WSH,613,.287,.351,.473,.824
Denard Span,WSH,610,.302,.355,.416,.771
Ian Desmond,WSH,593,.255,.313,.430,.743
Asdrúbal Cabrera,WSH,553,.241,.307,.387,.694
Jayson Werth,WSH,534,.292,.394,.455,.849
Adam LaRoche,WSH,494,.259,.362,.455,.817
Nate Schierholtz,WSH,353,.195,.243,.309,.552
Bryce Harper,WSH,352,.273,.344,.423,.767
Wilson Ramos,WSH,341,.267,.299,.399,.698
Danny Espinosa,WSH,333,.219,.283,.351,.634
Kevin Frandsen,WSH,220,.259,.299,.309,.608
