playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Dee Strange-Gordon,MIA,653,.308,.341,.375,.716
Marcell Ozuna,MIA,613,.312,.376,.548,.924
Christian Yelich,MIA,602,.282,.369,.439,.808
Giancarlo Stanton,MIA,597,.281,.376,.631,1.007
J.T. Realmuto,MIA,532,.278,.332,.451,.783
Derek Dietrich,MIA,406,.249,.334,.424,.758
Justin Bour,MIA,377,.289,.366,.536,.902
Miguel Rojas,MIA,272,.290,.361,.375,.736
JT Riddle,MIA,228,.250,.282,.355,.637
Ichiro Suzuki,MIA,196,.255,.318,.332,.650
Tyler Moore,MIA,187,.230,.267,.401,.668
