playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Chase Headley,SD,604,.286,.376,.498,.874
Yonder Alonso,SD,549,.273,.348,.393,.741
Cameron Maybin,SD,507,.243,.306,.349,.655
Will Venable,SD,417,.264,.335,.429,.764
Everth Cabrera,SD,398,.246,.324,.324,.648
Chris Denorfia,SD,348,.293,.345,.451,.796
Logan Forsythe,SD,315,.273,.343,.390,.733
Jesus Guzman,SD,287,.247,.319,.418,.737
Carlos Quentin,SD,284,.261,.374,.504,.878
Alexi Amarista,SD,275,.240,.282,.385,.667
Nick Hundley,SD,204,.157,.219,.245,.464
