playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Yangervis Solarte,SD,469,.260,.336,.369,.705
Seth Smith,SD,443,.266,.367,.440,.807
Alexi Amarista,SD,423,.239,.286,.314,.600
Will Venable,SD,406,.224,.288,.325,.613
Jedd Gyorko,SD,400,.210,.280,.333,.613
Yasmani Grandal,SD,377,.225,.327,.401,.728
Everth Cabrera,SD,357,.232,.272,.300,.572
René Rivera,SD,294,.252,.319,.432,.751
Yonder Alonso,SD,267,.240,.285,.397,.682
Cameron Maybin,SD,251,.235,.290,.331,.621
Tommy Medica,SD,240,.233,.286,.408,.694
